1001,0,0.0,
1001,1,0,
1001,2,0,
1002,0,0.0,
1002,1,0,
1002,2,0,
1003,0,0.0,
1003,1,0,
1003,2,0,
1004,0,0.0,
1004,1,0,
1004,2,0,
1005,0,0.0,
1005,1,0,
1005,2,0,
1006,0,0.0,
1006,1,0,
1006,2,0,
1007,0,0.0,
1007,1,0,
1007,2,0,
1009,0,0.0,
1009,1,0,
1009,2,0,
1011,0,0.0,
1011,1,0,
1011,2,0,
1012,0,0.0,
1012,1,0,
1012,2,0,
1013,0,0.0,
1013,1,0,
1013,2,0,
1014,0,0.0,
1014,1,0,
1014,2,0,
1015,0,0.0,
1015,1,0,
1015,2,0,
1016,0,0.0,
1016,1,0,
1016,2,0,
1017,0,0.0,
1017,1,0,
1017,2,0,
1018,0,0.0,
1018,1,0,
1018,2,0,
1019,0,0.0,
1019,1,0,
1019,2,0,
1020,0,0.0,
1020,1,0,
1020,2,0,
1022,0,0.0,
1022,1,0,
1022,2,0,
1023,0,0.0,
1023,1,0,
1023,2,0,
1024,0,0.0,
1024,1,0,
1024,2,0,
1025,0,0.0,
1025,1,0,
1025,2,0,
1026,0,0.0,
1026,1,0,
1026,2,0,
1027,0,0.0,
1027,1,0,
1027,2,0,
1028,0,0.0,
1028,1,0,
1028,2,0,
1029,0,0.0,
1029,1,0,
1029,2,0,
1030,0,0.0,
1030,1,0,
1030,2,0,
1032,0,0.0,
1032,1,0,
1032,2,0,
1033,0,0.0,
1033,1,0,
1033,2,0,
1034,0,0.0,
1034,1,0,
1034,2,0,
1035,0,0.0,
1035,1,0,
1035,2,0,
1036,0,0.0,
1036,1,0,
1036,2,0,
1037,0,0.0,
1037,1,0,
1037,2,0,
1038,0,0.0,
1038,1,0,
1038,2,0,
1040,0,0.0,
1040,1,0,
1040,2,0,
1041,0,0.0,
1042,0,0.0,
1042,1,0,
1042,2,0,
1043,0,0.0,
1043,1,0,
1043,2,0,
1044,0,0.0,
1044,1,0,
1044,2,0,
1046,0,0.0,
1046,1,0,
1046,2,0,
1048,0,0.0,
1048,1,0,
1048,2,0,
1049,0,0.0,
1049,1,0,
1049,2,0,
1050,0,0.0,
1050,1,0,
1050,2,0,
1052,0,0.0,
1052,1,0,
1052,2,0,
1053,0,0.0,
1053,1,0,
1053,2,0,
1054,0,0.0,
1054,1,0,
1054,2,0,
1055,0,0.0,
1055,1,0,
1055,2,0,
1056,0,0.0,
1056,1,0,
1056,2,0,
1056,3,0.0,
1056,4,0.0,
1056,5,0.0,
1057,0,0.0,
1057,1,0,
1057,2,0,
1058,0,0.0,
1058,1,0,
1058,2,0,
1060,0,0.0,
1060,1,0,
1060,2,0,
1061,0,0.0,
1061,1,0,
1061,2,0,
1067,0,0.0,
1067,1,0,
1067,2,0,
1069,0,0.0,
1069,1,0,
1069,2,0,
1070,0,0.0,
1070,1,0,
1070,2,0,
1071,0,0.0,
1071,1,0,
1071,2,0,
1072,0,0.0,
1072,1,0,
1072,2,0,
1073,0,0.0,
1073,1,0,
1073,2,0,
